album,singer,singerGender,releaseDate,price,songNumber,totalSales,QQ,WYY,KUGOU,KUWO,MIGU
Dynamite (DayTime Version),BTS (防弹少年团),male,2020/8/24,3,2,171465,0,171465,0,0,0
相信爱/TEMPLE,贾凡,male,2019/12/12,5,2,169805,0,169805,0,0,0
Make It Right (Acoustic Remix),BTS (防弹少年团) / Lauv,male,2019/11/8,3,1,169701,0,169701,0,0,0
9loryUS,SF9,female,2020/7/6,12,6,163392,0,163392,0,0,0
活着的时间,朱正廷,male,2019/11/26,3,1,156045,0,155298,0,0,747
恋糖,初音ミク,female,2019/7/15,25,15,155325,0,155325,0,0,0
STARLIGHT,N.Flying,male,2020/7/24,3,1,154248,0,154248,0,0,0
曾以为,冯建宇,male,2019/9/20,8,3,153216,3912,0,144464,4840,0
The Four Seasons,黄致列,male,2019/1/21,20,11,149539,67174,0,69422,12943,0
STILL WITH U ALL,初音ミク,female,2019/6/4,39,19,148122,0,148122,0,0,0
Love me,高嘉朗,male,2020/1/12,3,1,145089,0,144102,0,0,987
Fly High,李权哲,male,2019/11/26,3,1,143208,0,142977,0,0,231
The Beatles 1962 - 1966 (Remastered),The Beatles,male,1973/4/2,40,26,142400,86640,51280,3298,1182,0
You Need To Calm Down,Taylor Swift,female,2019/6/14,2,1,138008,0,138008,0,0,0
缤纷世界,初音ミク,female,2020/3/13,5,5,137975,23685,52530,61265,495,0
Sgt. Pepper's Lonely Hearts Club Band (Super Deluxe Edition),The Beatles,male,1967/5/26,100,65,135682,61776,66700,5698,508,1000
Whenever You Call,嵐,male,2020/9/20,3,1,131433,43920,84393,2715,165,240
名为你的摄影集,毕雯珺,male,2019/11/26,3,1,129579,0,129051,0,0,528
Yellow Submarine Songtrack,The Beatles,male,1999/9/13,22,15,129078,38658,86152,2414,820,1034
Revolver (Remastered),The Beatles,male,1966/8/5,22,14,128260,32736,89188,5062,438,836
告白诗,乐正绫,female,2020/4/12,8,4,127144,0,127144,0,0,0
Simple,郑恩地,female,2020/7/15,12,6,125964,0,125964,0,0,0
Mayday,VICTON,male,2020/6/2,3,1,123285,0,123285,0,0,0
Youth 度,VOGUE 5,female,2019/4/12,4,2,120140,0,120140,0,0,0
新世界,RADWIMPS,female,2020/5/9,2,1,119504,0,119504,0,0,0
WOOPS!,WOODZ,male,2020/11/17,12,6,119364,0,119244,0,0,120
The Beatles (White Album / Super Deluxe),The Beatles,male,2018/11/9,210,107,116726,18690,91770,4920,1346,0
悲智双翼,真如,female,2020/3/11,20,17,116263,13805,97380,5078,0,0
Sgt. Pepper's Lonely Hearts Club Band (Deluxe Edition),The Beatles,male,1967/6/1,40,31,106422,31290,72760,1640,732,0
来·走,韩沐伯,male,2019/12/28,3,1,105603,0,105531,0,0,72
Dynamite (DayTime Version),BTS (防弹少年团),male,2020/8/28,3,1,105603,0,105603,0,0,0
失序抵抗,李鑫一,female,2020/9/22,3,1,102612,0,102612,0,0,0
糊得如此独特,丁飞俊,male,2020/3/23,6,3,98184,83814,0,12750,1620,0
恋 · LOV3,RaJor,male,2019/11/1,15,11,96375,0,96375,0,0,0
Missing You,黄新淳,male,2019/11/26,3,1,96027,0,95754,0,0,273
Please Please Me (Remastered),The Beatles,male,1963/3/22,22,14,94568,25036,65164,3732,438,198
Golden Child 4th Mini Album [Take A Leap],Golden Child,male,2020/6/23,15,7,93465,0,93465,0,0,0
Starry Night - The 2nd Mini Album,BoA (宝儿),female,2019/12/11,15,6,92580,73845,0,14685,4050,0
近你环行日记,黄新淳,male,2020/5/14,3,1,88320,0,87996,0,0,324
光,张哲瀚,male,2019/8/18,4,3,85908,0,82072,0,0,3836
二十多岁，无人欣赏,南征北战NZBZ,male,2020/8/28,8,6,83563,61660,0,20710,1193,0
